Customer_ID,Call_Failure,Complains,Subscription_Length,Charge_Amount,Seconds_of_use,Frequency_of_use,Frequency_of_SMS,Distinct_Called_Numbers,Age_Group,Tariff_Plan,Status,Customer_Value,Churn
14330,4,NA,36,0,13713,166,0,42,3,1,1,555.16,0
16897,4,0,36,0,4455,80,0,23,3,1,1,181.4,0
13724,3,0,36,0,5858,92,NA,10,2,1,1,276.75,0
15130,6,1,36,0,2178,51,NA,15,3,1,2,101.16,0
18691,22,0,36,NA,15080,222,49,30,3,1,1,808.08,0
18579,6,0,35,NA,15425,179,145,28,2,1,1,1354.68,0
17299,NA,0,35,0,6440,83,181,24,3,1,1,984.92,0
14026,0,0,35,0,815,NA,0,NA,2,1,2,37.17,0
10216,0,0,35,0,0,0,0,0,2,1,2,0,1
10641,0,0,35,0,NA,124,379,41,2,1,1,2046.24,0
11127,4,0,35,0,11405,151,6,45,3,1,1,486.24,0
19059,5,0,35,0,6658,72,103,35,2,1,1,766.35,0
15928,18,0,34,7,NA,90,0,NA,4,1,1,261.625,0
19072,0,0,32,0,2780,19,0,12,3,1,1,111.96,0
10556,6,0,33,0,2930,38,4,14,NA,1,2,151.56,1
15033,0,1,34,0,NA,0,0,0,3,1,2,0,1
13537,0,0,34,0,1608,22,0,4,3,1,1,65.2,0
17279,0,0,34,0,568,4,4,2,4,1,2,24.3,1
14259,0,0,NA,0,0,0,0,0,5,1,1,0,0
15286,0,0,34,0,3658,79,0,26,2,1,1,NA,0
16657,NA,0,33,0,1605,41,33,18,3,1,2,197.84,0
16135,3,0,34,0,2720,50,170,NA,2,1,1,889.65,0
18706,1,0,25,0,1255,33,188,9,2,2,1,903.96,0
11441,0,1,24,0,765,NA,16,1,4,1,2,59.3,1
18208,7,0,23,0,1165,29,14,11,2,1,1,116.73,0
19463,0,0,23,0,NA,NA,3,21,3,1,1,140.92,0
17063,0,0,NA,NA,NA,23,23,12,2,1,1,178.11,0
13568,13,0,15,0,6333,138,80,40,1,2,1,795.905,0
12549,9,0,13,0,8873,168,68,38,4,1,1,NA,0
13574,5,0,14,2,2793,42,26,17,3,1,1,217.4,0
18610,0,0,7,0,4330,37,210,8,3,1,1,1014.68,0
15284,0,0,7,0,1428,NA,NA,5,3,1,1,57.76,1
18601,9,0,42,1,4450,73,15,21,3,1,1,240.92,0
15477,1,1,43,0,NA,7,17,8,3,1,2,84.2,1
11226,NA,0,41,1,2533,NA,NA,28,3,1,1,1579.8,0
14310,4,0,42,1,2473,60,12,NA,2,1,1,167.985,0
11797,NA,0,42,2,3855,84,42,32,3,1,1,325.56,0
15584,5,0,42,1,2440,41,295,22,3,1,1,NA,0
13415,14,0,41,3,9195,123,154,NA,3,1,1,988.72,0
18128,8,0,42,1,13853,NA,10,48,3,1,1,600.96,0
17543,8,0,42,2,4595,85,12,29,3,1,1,235.2,0
12604,7,0,NA,1,5998,97,NA,16,3,1,1,NA,0
12000,10,0,42,NA,NA,56,18,21,3,1,2,166.96,0
16480,26,0,42,4,15220,227,64,36,3,2,1,873.88,0
10921,5,0,42,2,3175,29,493,12,3,1,1,2100.16,0
15297,10,0,41,1,15565,184,NA,34,2,1,1,1428.705,0
10582,4,0,NA,2,6580,88,196,30,3,1,1,1050.72,0
14070,1,0,41,NA,955,NA,10,15,2,1,2,88.695,0
19352,1,0,41,0,80,2,10,4,2,1,2,48.69,1
10613,4,0,41,1,7588,129,394,47,3,1,1,1884.68,0
16232,8,0,41,2,NA,NA,21,51,4,1,1,345.025,0
13891,9,0,41,2,6798,77,118,41,2,1,1,840.375,0
17464,22,1,40,9,10515,95,NA,46,5,1,1,175.65,0
15886,2,0,38,1,2920,24,10,18,3,1,1,157.76,0
11779,10,0,39,0,NA,NA,19,20,3,1,2,200.52,1
11993,4,0,37,2,NA,99,24,NA,5,1,1,140.46,0
19862,1,1,40,0,708,9,19,8,4,1,2,65.425,1
12402,1,0,40,2,418,6,14,6,5,1,1,27.36,0
19361,26,0,35,4,16155,NA,10,84,2,1,1,782.775,0
10561,7,1,38,4,NA,118,281,37,2,2,1,1586.835,0
15764,3,0,40,1,3798,84,12,NA,3,1,1,203.28,0
19110,7,0,40,1,2860,55,185,27,2,1,1,963.675,0
15126,5,0,31,2,NA,38,203,NA,2,2,1,977.985,0
14304,5,0,NA,NA,NA,41,40,72,4,1,1,NA,0
17930,12,0,NA,0,780,27,20,11,3,1,2,112.28,0
19974,11,0,29,1,1305,34,NA,17,2,1,1,190.755,0
16675,3,0,22,1,1775,28,38,18,2,1,1,252.135,0
18068,17,0,21,NA,6473,NA,NA,46,2,2,1,725.22,0
10129,13,0,19,1,9013,173,83,44,5,1,1,262.29,0
12046,9,0,20,4,2933,47,41,23,3,1,1,283.2,0
18012,NA,0,13,2,1568,21,10,11,3,1,1,103.56,1
15966,7,0,34,0,4290,69,0,NA,2,1,1,196.155,0
17798,0,0,35,0,0,0,NA,0,2,1,2,0,0
19385,9,0,33,0,2373,58,349,20,2,1,1,1679.895,0
13473,9,0,34,NA,NA,64,0,NA,1,1,1,230.01,0
12815,2,0,34,0,2313,56,0,29,1,1,1,130.295,0
11972,10,0,34,0,3695,80,22,24,3,1,1,NA,0
10724,3,0,34,0,2280,37,NA,NA,3,1,1,1192.68,0
15481,12,0,33,1,9035,119,134,NA,3,1,1,902.16,0
12059,6,0,34,NA,13693,167,0,40,3,1,1,554.4,0
13792,NA,0,34,0,4435,81,0,21,3,1,1,180.64,0
18414,8,0,34,0,NA,52,0,13,3,1,2,88.4,0
12523,24,0,34,2,15060,223,NA,NA,3,1,1,787.32,0
16183,3,0,34,0,3015,25,473,4,3,1,1,2013.6,0
16874,8,0,33,0,15405,180,140,26,2,1,1,1331.325,0
11214,2,0,33,0,6420,84,NA,22,3,1,1,964.16,0
13325,0,0,33,0,NA,12,0,7,2,1,2,36.315,0
18665,1,0,34,0,630,12,NA,4,2,1,2,42.39,0
17563,NA,0,33,0,NA,0,0,0,2,1,2,NA,1
12508,2,0,33,0,7428,NA,374,39,2,1,1,2022.885,0
14738,6,0,33,0,NA,152,1,NA,3,1,1,NA,0
15889,7,0,33,0,6638,NA,98,33,2,1,1,742.995,0
18022,22,0,29,0,875,45,6,NA,2,1,2,68.4,1
19802,20,0,32,7,NA,91,0,38,4,1,1,261.15,0
15833,12,1,32,0,5738,96,16,20,2,1,1,NA,1
10914,NA,1,31,0,2910,NA,0,12,3,1,2,117.96,1
14169,8,0,32,0,NA,42,24,27,3,1,2,185.2,1
15489,0,1,NA,0,0,0,0,0,3,1,2,0,1
15848,0,0,32,0,1588,23,0,2,3,1,1,64.44,0
11137,2,0,29,0,6705,95,4,18,4,1,1,180,0
11265,0,0,32,0,0,NA,0,0,4,1,2,0,1
19217,24,0,27,2,15995,236,0,76,2,1,1,730.395,0
14705,5,0,30,2,6885,114,261,29,2,2,1,1489.455,0
13413,1,0,32,0,3638,80,0,24,2,1,1,167.31,0
14556,2,0,31,0,1585,42,28,NA,3,1,2,177.08,0
15793,5,0,32,0,2700,51,NA,NA,2,1,1,866.295,0
15495,3,0,23,NA,1235,34,183,7,2,2,1,880.605,0
17482,NA,0,22,NA,1488,37,20,64,4,1,1,88.125,0
12550,0,0,22,0,0,0,NA,NA,4,1,2,27.5,0
15560,9,0,21,0,1145,30,9,NA,2,1,1,NA,0
18432,1,0,21,0,3145,59,0,19,3,1,1,128.16,0
15388,15,0,NA,0,6313,139,75,38,1,2,1,767.36,0
17760,7,0,12,2,2773,43,21,15,3,1,1,196.64,0
17925,1,0,5,NA,4310,38,NA,6,3,1,1,NA,0
17612,2,0,5,0,1408,17,0,3,3,1,1,57,1
14076,13,0,NA,1,4630,81,20,23,3,1,1,268.44,0
10746,5,0,45,0,578,NA,NA,10,3,1,2,111.72,0
10980,15,0,44,1,4458,NA,16,41,1,1,1,337.37,0
18237,16,0,NA,2,4035,92,47,34,3,1,1,353.08,0
15572,9,0,44,1,2620,49,300,24,3,1,1,1306.76,0
11015,18,0,43,3,NA,131,NA,49,3,1,1,1016.24,0
13996,12,0,44,1,NA,179,15,50,3,1,1,628.48,0
16654,12,0,44,2,4775,NA,17,31,3,1,1,262.72,0
18212,11,0,44,1,NA,105,22,NA,3,1,1,NA,0
18223,9,0,44,2,3355,37,498,14,3,1,1,2127.68,0
10448,14,0,43,1,NA,192,165,36,2,1,1,1459.665,0
12236,NA,0,NA,2,6760,96,201,32,3,NA,1,NA,0
13209,5,0,43,0,1135,NA,15,17,2,1,2,119.655,0
10476,7,0,44,0,970,24,NA,14,3,1,2,151.76,0
16376,5,0,43,0,260,10,NA,6,2,1,2,79.65,1
15263,NA,0,43,1,NA,137,399,NA,3,1,1,1912.2,0
13222,12,0,43,NA,11725,164,26,53,4,1,1,362.225,0
16878,NA,0,43,2,6978,85,123,NA,2,1,1,871.335,0
14014,28,1,39,0,1215,57,31,23,3,1,2,174.88,1
10957,26,0,42,NA,10695,103,16,NA,5,2,1,185.97,0
13329,18,0,42,2,6078,108,41,30,2,1,1,462.87,0
15024,NA,0,NA,1,3100,32,15,20,3,1,1,185.28,0
16446,14,1,42,0,2528,54,49,37,4,1,2,187.05,1
11789,8,0,39,2,7045,107,29,28,5,1,1,150.78,0
19435,5,0,42,2,NA,14,19,8,5,1,1,37.68,0
13330,11,1,40,4,7225,NA,286,NA,3,2,1,1438.04,0
17528,7,0,NA,1,3978,92,17,34,3,1,1,230.8,0
13802,8,0,41,0,1925,54,53,26,3,1,2,291.16,0
16801,9,0,32,1,1828,NA,NA,74,5,1,1,95.655,0
18238,NA,0,33,0,960,35,25,13,3,1,2,139.8,0
10221,5,0,32,0,1085,20,36,NA,4,1,2,117.625,0
19709,15,0,31,1,NA,NA,NA,NA,2,1,1,221.715,0
12275,7,0,31,1,3485,71,23,29,3,1,1,234.24,0
14295,7,0,24,1,1955,36,43,NA,3,1,1,251.64,0
19392,21,0,23,NA,NA,151,100,48,2,2,1,756.18,0
13578,17,0,21,1,9193,181,NA,NA,5,1,1,272.61,0
19758,13,0,22,4,3113,55,46,25,3,1,1,310.72,0
17536,0,0,NA,0,0,0,0,0,2,1,2,0,0
14511,5,0,31,0,2193,50,344,18,2,1,1,1648.935,0
17326,0,0,32,0,NA,48,NA,NA,1,1,1,119.955,0
11945,6,0,32,NA,3515,72,17,NA,2,1,1,237.915,0
15674,0,0,32,0,2100,29,270,12,3,1,1,1165.16,0
15470,2,0,32,0,13513,NA,0,38,3,1,1,546.88,0
15623,2,0,32,0,4255,73,0,NA,3,1,1,173.12,0
15026,1,0,NA,0,5658,85,NA,6,2,1,1,258.435,0
12938,4,0,32,0,1978,44,0,11,3,1,2,80.88,0
13351,20,0,32,2,14880,215,39,NA,3,1,1,759.8,0
13803,0,0,32,NA,2835,17,468,2,3,1,1,1986.08,0
12851,NA,0,31,0,615,NA,NA,5,2,1,2,27.855,0
15436,0,0,32,0,NA,4,0,2,2,1,2,20.43,0
13968,0,0,31,0,0,0,0,0,2,1,2,0,1
19561,0,0,31,NA,7248,117,369,37,2,1,1,1991.925,0
19775,2,0,31,0,11205,144,0,41,3,1,1,453.96,0
10237,3,0,31,0,6458,65,93,31,2,1,1,712.035,0
17420,18,1,27,0,695,NA,1,11,2,1,2,37.44,1
19535,16,0,NA,7,NA,NA,0,36,4,1,1,256.45,0
10051,8,1,30,0,5558,88,11,18,2,1,1,303.57,1
12718,0,0,28,0,2580,12,0,8,3,1,1,103.68,0
14320,NA,1,30,0,2008,34,NA,25,3,1,2,157.68,1
18890,0,0,30,0,0,0,0,0,3,1,2,0,1
13542,0,1,NA,0,0,0,0,0,5,1,1,0,1
10423,20,0,25,2,15815,228,0,74,2,1,1,721.935,0
13843,1,0,28,2,6705,106,256,27,2,2,1,1458.495,0
13504,0,0,30,0,3458,72,0,22,2,1,1,158.85,0
19249,1,0,30,0,2520,43,160,17,2,1,1,835.335,0
16816,0,0,21,NA,1055,26,178,5,2,NA,1,849.645,0
17770,0,0,20,0,1308,29,NA,62,4,1,1,70.925,0
10344,6,0,21,0,440,15,0,1,2,1,2,20.475,0
18191,0,0,NA,0,0,0,6,0,4,1,2,15,0
12922,5,0,NA,0,965,22,4,7,2,1,1,62.415,0
12476,0,0,19,0,2965,51,0,17,3,1,1,120.64,0
17534,0,0,12,NA,1435,NA,NA,8,2,1,1,123.795,0
11432,3,0,10,2,2593,35,16,13,3,1,1,169.12,0
10552,0,0,3,0,4130,30,NA,NA,3,1,1,966.4,0
17775,10,0,41,0,4550,79,16,22,3,1,1,249.16,0
15620,2,0,42,0,498,13,18,NA,2,1,2,103.995,0
10895,NA,0,40,0,2633,68,NA,29,3,1,1,1588.04,0
10781,12,0,41,0,4378,74,NA,40,1,1,1,310.86,0
19991,13,0,41,1,3955,90,43,33,3,1,1,333.8,0
15626,6,0,41,0,NA,47,NA,23,3,1,1,1287.48,0
15585,8,0,41,0,6098,103,18,17,3,1,1,320.04,0
16301,11,0,NA,NA,2418,NA,19,22,3,1,2,175.2,0
10451,27,0,NA,3,NA,233,65,37,3,1,1,882.12,0
16178,6,0,41,1,3275,35,494,13,3,1,1,2108.4,0
16719,11,0,40,0,15665,190,161,35,2,1,1,NA,0
14762,5,0,40,1,6680,94,197,31,3,1,1,1058.96,0
10044,NA,0,40,0,1055,22,NA,16,2,1,2,97.965,0
12043,2,0,40,NA,180,8,NA,5,2,1,2,57.96,1
16827,5,0,40,0,7688,135,NA,48,NA,1,1,2129.535,0
16026,10,0,40,1,6898,83,119,42,2,1,1,849.645,0
14323,25,1,36,NA,NA,55,27,22,2,1,2,175.05,1
11398,23,0,39,8,10615,101,12,47,5,1,1,178.74,0
15727,15,0,39,1,5998,106,37,29,2,1,1,441.18,0
19347,3,0,37,0,3020,30,11,19,3,1,1,166,0
11033,11,1,38,0,3170,49,20,NA,3,1,2,208.76,1
16604,11,1,39,0,2448,52,45,36,3,1,2,280,1
12437,3,0,39,0,1848,33,11,11,3,1,1,119.24,0
16364,2,0,39,NA,808,15,20,9,4,1,2,70.575,1
16370,2,0,39,1,518,12,15,7,5,1,1,30.45,0
16998,27,1,34,3,16255,246,11,85,2,1,1,792.045,0
14841,8,0,37,3,7145,124,NA,38,2,2,1,1596.105,0
14440,4,0,39,0,3898,90,13,33,2,1,1,237.96,0
14986,NA,0,38,0,1845,52,49,25,3,1,2,271.88,0
16366,8,0,39,0,2960,61,186,28,2,1,1,972.945,0
19975,6,1,30,1,NA,44,NA,16,2,2,1,987.255,1
10698,6,0,29,0,1748,47,41,73,4,1,1,147.375,0
17842,13,0,30,0,880,33,21,12,2,1,2,135.585,0
19539,2,0,29,0,1005,18,32,NA,4,1,2,105.575,0
15386,12,0,NA,0,1405,40,30,NA,2,1,1,200.025,0
16975,4,0,28,0,3405,69,19,NA,3,1,1,214.96,0
10679,4,0,21,0,1875,34,39,19,2,1,1,261.405,0
13637,10,0,19,3,3033,53,42,24,3,1,1,291.44,0
10028,4,0,NA,1,4570,NA,226,15,NA,1,1,1088.72,0
14789,NA,0,12,1,1668,NA,NA,12,NA,1,1,111.8,1
17743,6,0,35,0,4190,63,0,12,3,1,1,170.12,0
16505,0,0,NA,0,0,0,0,0,2,1,2,0,0
15195,8,0,34,0,2273,52,348,19,3,1,1,1485,0
13016,8,0,35,0,4018,58,0,30,1,1,1,224.18,0
17937,NA,0,35,0,2213,50,0,28,1,1,1,124.465,0
16732,11,0,34,2,8935,113,133,38,3,1,1,893.92,0
17001,5,0,35,0,13593,NA,0,39,3,1,1,550.16,0
16138,5,0,35,1,4335,75,0,NA,3,1,1,176.4,0
14247,4,0,35,0,NA,87,0,7,3,1,1,233,0
12873,NA,0,35,0,2058,46,0,NA,3,1,2,84.16,0
16320,7,0,34,0,15305,174,139,25,2,1,1,1322.055,0
12712,1,0,34,1,6320,78,175,21,3,1,1,955.92,0
15715,NA,0,35,0,530,6,2,3,3,1,2,29.44,0
15189,0,1,34,0,0,0,0,0,2,1,2,0,1
19143,NA,0,34,1,11285,146,0,42,4,1,1,285.775,0
15749,6,0,34,1,6538,67,97,32,2,1,1,733.725,0
19515,21,1,30,0,775,39,5,12,2,1,2,59.13,1
18275,11,1,33,1,5638,90,NA,NA,2,1,1,325.26,1
17003,0,0,NA,0,2660,14,NA,9,3,1,1,106.96,0
14165,7,0,32,0,2810,33,0,11,3,1,2,113.72,1
17295,7,1,NA,0,2088,36,23,26,3,1,2,176.96,1
17388,0,0,33,0,NA,17,0,1,3,1,1,60.2,0
17624,1,0,30,1,6605,89,3,NA,5,1,1,104.91,0
16425,0,0,33,NA,0,0,0,0,4,1,2,0,1
10619,0,0,NA,0,0,0,0,0,5,1,1,0,0
11340,23,0,28,3,15895,NA,0,75,2,1,1,725.625,0
11920,4,0,NA,3,6785,108,260,28,2,2,1,1480.185,0
14125,0,0,33,0,NA,74,0,23,2,1,1,162.54,0
14364,1,0,32,0,NA,36,NA,NA,3,1,2,168.84,0
19478,4,0,33,0,2600,45,164,NA,2,1,1,857.025,0
15103,2,0,23,0,1388,31,19,63,4,1,1,82.975,0
16325,9,0,24,0,520,17,0,NA,2,1,2,24.165,0
19287,NA,0,22,0,1045,24,8,8,2,1,1,84.105,0
14355,0,0,22,0,3045,53,0,18,3,1,1,123.92,0
18380,NA,0,NA,1,6213,133,74,37,2,2,1,618.57,0
10796,10,0,12,0,8753,163,62,35,4,1,1,377.9,0
10111,6,0,13,3,2673,37,20,14,3,1,1,188.4,0
16272,0,0,6,1,4210,32,204,5,3,1,1,985.68,0
10789,1,0,6,1,1308,11,0,2,3,1,1,52.76,1
19153,12,0,38,2,4970,81,26,32,3,1,1,306.04,0
14613,4,0,39,0,918,NA,28,19,3,1,2,149.32,0
12888,14,0,37,2,3053,70,380,39,3,1,1,1644.92,0
12252,14,0,38,2,4798,NA,22,50,1,1,1,389.07,0
12502,15,0,38,NA,4375,NA,53,NA,3,1,1,390.68,0
15347,8,0,38,2,2960,49,306,33,3,1,1,1344.36,0
18622,17,0,37,4,9715,131,165,58,3,2,1,1053.84,0
18026,11,0,38,2,14373,179,21,59,3,1,1,666.08,0
12353,11,0,38,3,5115,93,23,40,3,1,1,300.32,0
13665,13,0,38,0,2838,64,29,32,3,1,2,NA,0
19666,29,0,38,5,15740,235,75,47,3,1,1,939,0
18717,8,0,38,3,3695,37,504,NA,3,1,1,2165.28,0
16004,13,0,37,2,16085,192,171,45,2,1,1,1501.965,0
11243,7,0,37,NA,NA,NA,207,41,3,1,1,1115.84,0
19953,4,0,37,0,1475,24,21,26,2,1,2,161.955,0
15643,NA,0,38,0,1310,24,NA,23,3,1,2,189.36,0
11775,4,0,37,NA,600,10,21,15,2,1,2,121.95,1
18080,7,0,37,2,8108,NA,405,58,3,1,1,1949.8,0
14927,NA,0,37,3,NA,164,32,62,4,1,1,385.725,0
10097,12,0,37,3,7318,85,129,52,2,1,1,913.635,0
16159,27,1,33,0,1555,57,37,32,3,1,2,212.48,1
10284,25,0,36,10,NA,103,22,57,5,2,1,200.07,0
11688,NA,0,34,2,3440,32,NA,29,3,1,1,222.88,0
18924,NA,0,36,0,733,12,21,17,3,1,2,113.8,1
16218,5,0,36,2,2268,35,21,21,4,1,1,110.075,0
13357,7,0,33,3,NA,107,35,37,5,1,1,164.88,0
15479,4,NA,36,NA,1228,NA,30,19,4,1,2,106.125,1
19333,4,0,36,3,938,14,25,NA,5,1,1,51.78,0
10128,29,0,31,5,16675,248,21,95,2,1,1,856.035,0
10779,7,1,35,0,NA,54,59,NA,3,1,2,328.76,1
18144,NA,0,NA,2,3380,63,196,38,2,1,1,1036.935,0
13913,8,0,NA,3,1915,46,214,26,2,2,1,1051.245,0
18254,8,0,26,2,2168,49,51,83,4,1,1,182.925,0
15669,NA,0,27,0,1300,35,31,22,3,1,2,177.4,0
15690,14,0,25,2,1825,42,40,NA,2,1,1,264.015,0
13341,6,0,25,2,NA,71,29,38,3,1,1,271.84,0
10536,20,0,17,3,6993,151,106,57,2,2,1,798.48,0
11860,16,0,15,2,9533,181,94,55,5,1,1,286.71,0
11818,6,0,9,3,4990,50,236,25,3,1,1,1145.6,0
19521,NA,1,9,3,2088,29,21,22,3,1,1,168.68,1
11852,4,0,38,0,3770,61,0,2,2,1,1,172.395,0
16249,0,0,39,0,0,0,0,NA,2,1,2,0,0
10278,6,0,37,0,1853,50,338,9,2,1,1,1606.635,0
19759,6,0,38,0,3598,56,0,20,1,1,1,200.97,0
16021,0,0,38,0,1793,NA,0,18,1,1,1,101.255,0
11189,7,0,38,0,3175,72,11,13,3,1,1,173.88,0
10783,0,0,38,0,1760,29,264,3,3,1,1,1127.56,0
16223,9,0,37,0,8515,111,123,28,3,1,1,NA,0
14990,3,0,38,0,NA,NA,0,29,3,1,1,533.28,0
19220,3,0,38,0,3915,73,NA,10,3,1,1,159.52,0
11273,5,0,38,0,1638,NA,0,2,3,1,2,67.28,0
11760,21,0,NA,1,14540,215,33,17,3,1,1,722.2,0
13708,0,0,38,0,2495,17,NA,7,3,1,1,1948.48,0
14721,0,0,37,0,5900,76,165,11,3,1,1,899.04,0
10553,0,0,37,0,275,4,0,1,2,1,2,12.555,0
18692,0,0,37,NA,0,NA,0,0,2,1,2,0,1
12720,0,0,37,0,6908,117,NA,28,2,1,1,1949.625,0
13695,4,0,37,0,6118,65,87,22,2,1,1,669.735,0
10012,19,0,33,0,NA,37,0,2,2,1,2,17.64,1
19620,NA,0,36,6,9835,83,0,27,4,1,1,247.95,0
12977,9,1,36,0,5218,88,5,9,2,1,1,261.27,1
11292,0,0,34,0,2240,12,NA,4,3,1,1,NA,0
17272,5,0,35,0,2390,NA,0,NA,3,1,2,96.84,1
16540,5,NA,36,NA,1668,34,13,16,3,1,2,120.08,1
18124,0,0,33,0,NA,87,0,7,4,1,1,156.8,0
17347,0,0,36,0,NA,0,0,0,5,1,1,0,0
19748,2,0,34,1,6365,106,250,NA,2,2,1,1416.195,0
