business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday
24Rr4ALt3fDNROR5LEgp0g,Imo's Pizza,2704 Godfrey Rd,Godfrey,IL,62035,38.9226213,-90.1925518,2.5,22,1,"Restaurants, Pizza",NA,True,False,2,NA,True,True,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,True,True,False,NA,NA,True,'casual',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,True,NA,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IS0B5nLJPluVT8NwGgospA,Cheddar's Scratch Kitchen,6600 N Illinois St,Fairview Heights,IL,62208,38.5965175492,-89.9841942417,2.5,187,1,"Comfort Food, American (New), American (Traditional), Restaurants, Southern",NA,True,True,2,NA,True,False,False,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,NA,False,True,False,False,u'full_bar',True,u'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",True,True,NA,u'average',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",NA,u'no',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:0-16:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
YnfJv2xUF1GUNORfHAFRFg,Aiello's Pizzeria,1318 Niedringhaus Ave,Granite City,IL,62040,38.7015013,-90.1494921,4,12,0,"Restaurants, Pizza",NA,True,False,2,NA,True,False,False,'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,True,True,False,NA,u'beer_and_wine',True,u'casual',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,True,NA,u'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17:0-20:0,17:0-20:0,17:0-20:0,17:0-20:0,17:0-22:0,13:0-22:0,NA
G0jHNZzhiHWCYZmZWCg-6w,Downtown Diner,1400 Niedringhaus Ave,Granite City,IL,62040,38.7013636,-90.1472908,4,8,1,"Restaurants, Diners",NA,NA,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,True,NA,NA,NA,NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,NA,NA,NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
-lhJzNZPffleH2FQ3-5puw,Best Bridal Prices,200 W Homer M Adams Pkwy,Godfrey,IL,62035,38.924001,-90.1909506,3,11,0,"Shopping, Bridal",False,True,NA,2,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-18:0,10:0-17:0,12:0-17:0
JRoY9Mx2LghIki2Uo1SOJA,The Wine Tap,223 E Main St,Belleville,IL,62220,38.5137923,-89.9805554,4.5,93,0,"Bars, Wine Bars, Nightlife, Restaurants, Italian",NA,True,True,2,NA,True,False,False,'no',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,True,True,True,NA,u'full_bar',False,'casual',"{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': True, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",NA,True,NA,u'average',"{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': None, 'video': False, 'karaoke': None}",NA,NA,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,15:30-22:0,15:30-22:0,15:30-22:0,15:30-0:0,15:30-0:0,NA
MOBvgVwvZMV8hyngcr7hfw,Shiloh Veterinary Clinic,3690 Green Mount Crossing,Shiloh,IL,62269,38.5562740854,-89.92863078,5,10,1,"Veterinarians, Pets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:0-18:0,7:0-18:0,NA,7:0-18:0,8:0-17:0,8:0-12:0,NA
pMEQsY7OdNS8jlM39f58Vg,Subliminal Grilled Subs & More,141 S Main St,Waterloo,IL,62298,38.3351684,-90.1504277,4.5,7,0,"Restaurants, Salad, Soup, Sandwiches",NA,True,NA,NA,NA,True,True,NA,NA,NA,NA,NA,NA,NA,True,NA,NA,True,'casual',NA,NA,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bIn7Is88ra509YZhf4VLxA,Advanced Medical Weight Loss,11 Junction Dr,Glen Carbon,IL,62034,38.777262,-89.957466,4,6,1,"Weight Loss Centers, Beauty & Spas, Aestheticians, Health & Medical, Hair Loss Centers, Medical Spas, Hair Removal, Laser Hair Removal",False,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:0-18:0,9:0-18:0,9:0-18:0,9:0-12:0,9:0-12:0,NA
q3AbKPlzrqbUh8tz26vsdQ,Wendy's,5959 Belleville Crossing St,Belleville,IL,62226,38.5293592,-90.0356064,2,7,1,"Restaurants, Fast Food, Burgers",NA,True,NA,1,NA,True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0
Jn5nZ0b-cdBS2xHnF4msug,McDonald's,7301 Westfield Plz,Belleville,IL,62223,38.544739774,-90.0519396365,1.5,12,0,"Restaurants, Fast Food, Burgers, Coffee & Tea, Food",NA,True,NA,1,NA,True,True,NA,u'free',NA,NA,NA,NA,True,False,NA,NA,True,NA,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0
RpWoiNTe8mCVrcMoCDa86w,My Vintage Addiction,119 E Main St,Belleville,IL,62220,38.513847,-89.981993,5,6,0,"Antiques, Shopping",False,True,NA,2,NA,NA,NA,NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,NA
6qYiwO5--3xPmsZjglR-Xw,The TOCO Shop,825 W Main St,Belleville,IL,62220,38.5147633,-89.9955021,4.5,10,1,"Fashion, Local Services, Community Service/Non-Profit, Shopping, Thrift Stores, Used, Vintage & Consignment",NA,True,True,1,NA,NA,NA,NA,'free',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0
K96G6_BqFbm5iGTzh85-bQ,Ashley HomeStore,6609 Edwardsville Crossing,Edwardsville,IL,62025,38.7894269,-89.9562624,2.5,54,1,"Home & Garden, Mattresses, Furniture Stores, Shopping, Home Decor",False,True,True,2,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-22:0,12:0-20:0
YWcH3SLyRIBHIBBgudqZLw,Taco Bell,1616 Camp Jackson Road,Cahokia,IL,62206,38.5532348,-90.1661599,1.5,8,1,"Fast Food, Restaurants, Breakfast & Brunch, Vegetarian, Mexican, Tacos",NA,True,NA,1,NA,True,True,NA,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,False,NA,u'none',True,u'casual',NA,False,True,True,u'quiet',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0
i5_36USdvJ8InY-z6KCH7w,Super 8 by Wyndham Pontoon Beach IL/St. Louis MO Area,"4141 Timberlake Drive, I-270 Exit 6A-B/Highway 111",Pontoon Beach,IL,62040,38.746866,-90.073342,3,9,1,"Hotels & Travel, Event Planning & Services, Hotels",NA,True,NA,1,NA,NA,NA,NA,'free',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
bQKqeYwaHNal7JFAXzCMFg,Super Gyros,766 Carlyle Ave,Belleville,IL,62221,38.5170210269,-89.9513851956,4.5,79,1,"Fast Food, Greek, Italian, Restaurants",NA,True,True,1,NA,True,True,True,'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,False,True,False,NA,'none',True,'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",False,True,True,'average',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-22:0,10:0-22:0,NA
3bmrxhqVpB5XCg-4j6y39A,McDonald's,906 Carlyle Ave,Belleville,IL,62221,38.5175290922,-89.9490435503,1.5,19,1,"Restaurants, Coffee & Tea, Food, Burgers, Fast Food",NA,True,True,1,NA,True,True,False,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,False,True,False,NA,u'none',True,'casual',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,True,True,'average',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-1:0,5:0-1:0,5:0-0:0
YKpZ2Ml0NZoYZ5eb3r_Cdg,Valentine's Restaurant,205 S State St,Freeburg,IL,62243,38.4242058,-89.9087975,4,30,1,"Steakhouses, Salad, Restaurants, Seafood",NA,True,False,2,NA,True,False,NA,'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,False,True,True,NA,u'full_bar',True,u'casual',"{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",NA,True,NA,u'average',"{u'breakfast': False, u'brunch': False, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': None}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:0-20:30,16:0-20:30,16:0-20:30,16:0-21:30,16:0-21:30,16:0-20:30
qQDtO1tkR993KT2vbxpk6A,U.s. Post Office,"10850 Lincoln Trl, Unit 20",Fairview Heights,IL,62208,38.591816,-89.9910359,3.5,6,1,"Post Offices, Public Services & Government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-12:30,NA
m0J32LZvlTFgnWZsqxUHIQ,HCI Alternatives,1014 Eastport Plaza Dr,Collinsville,IL,62234,38.6780873,-90.0164324,2.5,47,1,"Cannabis Dispensaries, Health & Medical, Cannabis Clinics, Shopping",NA,False,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47PQER5Q4OVmQhVZGE5nJg,Mexico Tipico,501 S Madison St,Lebanon,IL,62254,38.5987159,-89.8081851,4.5,26,1,"Mexican, Restaurants, Salad, Soup",NA,True,NA,NA,NA,True,False,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,True,NA,False,NA,NA,NA,NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,NA,NA,NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
